# Nominal geometry: w=1.080000, g=0.255000, t=0.275000
# Delta_w_star: -0.323581
# Delta_w_manual: True
# L_c: 8.488895
# Lambda0: 1.550000
# Variable: g
# Sigma_nm: 7.0
variable_value,eta_TE,eta_TM,V_TE,V_TM
0.26074247843000625,0.5044155451305335,0.49907446288052604,0.9998440358529579,0.9999931470718052
0.2582117459857642,0.5029345667849671,0.5001534322261141,0.999931108915349,0.9999998116684337
0.25859935637495984,0.5031648734169157,0.49998531487731374,0.9999198718204304,0.9999999982747775
0.25016099287214705,0.498314758091593,0.5035035194671769,0.9999772799357848,0.9999018076318522
0.2554773784884356,0.5013491145958398,0.5013049085159947,0.9999854392244671,0.9999863778029018
0.23120903645217997,0.4881139515846769,0.5107816623081359,0.9988704131682863,0.9990704782691832
0.2603404206653349,0.50418271263654,0.49924462666115144,0.9998600491138117,0.99999543529937
0.26859073802636096,0.517224857559525,0.5066123338418278,0.9976292478245077,0.999650277492925
0.2624025167786643,0.5053997465143348,0.49835243887937025,0.9997667691021453,0.9999782845746126
0.2582260829307862,0.5029450686571101,0.5001482529314447,0.9999306149720638,0.999999824168562
0.25568303212285926,0.5014640275766071,0.5012261563176571,0.9999828531330481,0.9999879723978095
0.26237045602464965,0.5053817903583854,0.4983681779990568,0.9997683175018064,0.999978697482559
0.2552465614492811,0.501218741390103,0.5014054126822364,0.9999881174259907,0.9999841986463833
0.25071963620522164,0.4986316848545458,0.5032842164524632,0.9999850218214754,0.9999137151010495
0.2448068360837377,0.49533316846155445,0.5056485257989419,0.9998257806446482,0.9997447858216842
0.2593002344415387,0.5035705216887768,0.4996882510473281,0.9998980161995727,0.9999992225010264
0.24714093632610432,0.49662284425198383,0.50472156139323,0.99990876271474,0.9998216707661555
0.24848285762266087,0.49737306512495005,0.5041815383830758,0.9999447952291234,0.9998601276768245
0.25743113078523505,0.5024817922046751,0.5004848048557191,0.999950726873573,0.9999981197157826
