lambda_um,eta,V
1.530000000000000027e+00,6.916083740229004295e-01,7.438995055989071625e-01
1.530999999999999917e+00,6.912921498273911780e-01,7.446362848853966820e-01
1.532000000000000028e+00,6.906906155915021328e-01,7.460361695332732301e-01
1.532999999999999918e+00,6.898642703354426198e-01,7.479556888680581883e-01
1.534000000000000030e+00,6.888978343680629557e-01,7.501953718568036278e-01
1.534999999999999920e+00,6.878603410116052030e-01,7.525933526278291152e-01
1.536000000000000032e+00,6.868311525287231767e-01,7.549655373226742405e-01
1.536999999999999700e+00,6.858817895032224277e-01,7.571478334218092465e-01
1.538000000000000034e+00,6.850713054345489716e-01,7.590063617647416772e-01
1.538999999999999924e+00,6.844483153618374782e-01,7.604320852743017278e-01
1.540000000000000036e+00,6.840435061681916507e-01,7.613571559617517970e-01
1.540999999999999925e+00,6.838687375517538136e-01,7.617562092774955440e-01
1.542000000000000259e+00,6.839149589355153491e-01,7.616506901913371319e-01
1.542999999999999927e+00,6.841568924978984612e-01,7.610981522803007548e-01
1.544000000000000039e+00,6.845493941666569437e-01,7.602009345350668745e-01
1.544999999999999929e+00,6.850331369996834896e-01,7.590937826196307858e-01
1.546000000000000041e+00,6.855353443469440755e-01,7.579427827757186931e-01
1.546999999999999931e+00,6.859816099504717490e-01,7.569186448832531111e-01
1.548000000000000043e+00,6.862906882301410549e-01,7.562085981182835592e-01
1.548999999999999932e+00,6.863886615283929515e-01,7.559833975106721171e-01
1.550000000000000044e+00,6.862098003424246251e-01,7.563944806160614043e-01
1.550999999999999934e+00,6.857062445328637734e-01,7.575507325039928519e-01
1.552000000000000046e+00,6.848438833092679312e-01,7.595271105267704659e-01
1.552999999999999936e+00,6.836129496013738649e-01,7.623398979477294946e-01
1.554000000000000048e+00,6.820301117368011701e-01,7.659422814184866368e-01
1.554999999999999716e+00,6.801211971464782291e-01,7.702646445771668127e-01
1.556000000000000050e+00,6.779433692740570727e-01,7.751657268564776659e-01
1.556999999999999940e+00,6.755652487513431614e-01,7.804799508295943156e-01
1.558000000000000052e+00,6.730667908203821215e-01,7.860197328191199651e-01
1.558999999999999719e+00,6.705357372783453673e-01,7.915853256128561055e-01
1.560000000000000053e+00,6.680644199318179766e-01,7.969732908783577763e-01
1.560999999999999943e+00,6.657408826208208730e-01,8.019963513544924316e-01
1.562000000000000055e+00,6.636436677235674209e-01,8.064938033658677341e-01
1.562999999999999945e+00,6.618459005528714023e-01,8.103211042516589302e-01
1.564000000000000057e+00,6.604060647704846909e-01,8.133674554126096856e-01
1.564999999999999947e+00,6.593680478876756679e-01,8.155530644577024812e-01
